order_item_id,order_id,product_id,quantity,unit_price,line_total
1,ORD-000001,PROD-0002,1,21,21
2,ORD-000001,PROD-0003,2,22,44
3,ORD-000002,PROD-0004,1,23,23
4,ORD-000002,PROD-0005,2,24,48
5,ORD-000002,PROD-0006,3,25,75
6,ORD-000003,PROD-0007,1,26,26
7,ORD-000003,PROD-0008,2,27,54
8,ORD-000003,PROD-0009,3,28,84
9,ORD-000003,PROD-0010,1,29,29
10,ORD-000004,PROD-0011,1,30,30
11,ORD-000005,PROD-0012,1,31,31
12,ORD-000005,PROD-0013,2,32,64
13,ORD-000006,PROD-0014,1,33,33
14,ORD-000006,PROD-0015,2,34,68
15,ORD-000006,PROD-0016,3,35,105
16,ORD-000007,PROD-0017,1,36,36
17,ORD-000007,PROD-0018,2,37,74
18,ORD-000007,PROD-0019,3,38,114
19,ORD-000007,PROD-0020,1,39,39
20,ORD-000008,PROD-0021,1,40,40
21,ORD-000009,PROD-0022,1,41,41
22,ORD-000009,PROD-0023,2,42,84
23,ORD-000010,PROD-0024,1,43,43
24,ORD-000010,PROD-0025,2,44,88
25,ORD-000010,PROD-0026,3,45,135
26,ORD-000011,PROD-0027,1,46,46
27,ORD-000011,PROD-0028,2,47,94
28,ORD-000011,PROD-0029,3,48,144
29,ORD-000011,PROD-0030,1,49,49
30,ORD-000012,PROD-0031,1,50,50
31,ORD-000013,PROD-0032,1,51,51
32,ORD-000013,PROD-0033,2,52,104
33,ORD-000014,PROD-0034,1,53,53
34,ORD-000014,PROD-0035,2,54,108
35,ORD-000014,PROD-0036,3,55,165
36,ORD-000015,PROD-0037,1,56,56
37,ORD-000015,PROD-0038,2,57,114
38,ORD-000015,PROD-0039,3,58,174
39,ORD-000015,PROD-0040,1,59,59
40,ORD-000016,PROD-0041,1,60,60
41,ORD-000017,PROD-0042,1,61,61
42,ORD-000017,PROD-0043,2,62,124
43,ORD-000018,PROD-0044,1,63,63
44,ORD-000018,PROD-0045,2,64,128
45,ORD-000018,PROD-0046,3,65,195
46,ORD-000019,PROD-0047,1,66,66
47,ORD-000019,PROD-0048,2,67,134
48,ORD-000019,PROD-0049,3,68,204
49,ORD-000019,PROD-0050,1,69,69
50,ORD-000020,PROD-0051,1,70,70
51,ORD-000021,PROD-0052,1,71,71
52,ORD-000021,PROD-0053,2,72,144
53,ORD-000022,PROD-0054,1,73,73
54,ORD-000022,PROD-0055,2,74,148
55,ORD-000022,PROD-0056,3,75,225
56,ORD-000023,PROD-0057,1,76,76
57,ORD-000023,PROD-0058,2,77,154
58,ORD-000023,PROD-0059,3,78,234
59,ORD-000023,PROD-0060,1,79,79
60,ORD-000024,PROD-0061,1,80,80
61,ORD-000025,PROD-0062,1,81,81
62,ORD-000025,PROD-0063,2,82,164
63,ORD-000026,PROD-0064,1,83,83
64,ORD-000026,PROD-0065,2,84,168
65,ORD-000026,PROD-0066,3,85,255
66,ORD-000027,PROD-0067,1,86,86
67,ORD-000027,PROD-0068,2,87,174
68,ORD-000027,PROD-0069,3,88,264
69,ORD-000027,PROD-0070,1,89,89
70,ORD-000028,PROD-0071,1,90,90
71,ORD-000029,PROD-0072,1,91,91
72,ORD-000029,PROD-0073,2,92,184
73,ORD-000030,PROD-0074,1,93,93
74,ORD-000030,PROD-0075,2,94,188
75,ORD-000030,PROD-0076,3,95,285
76,ORD-000031,PROD-0077,1,96,96
77,ORD-000031,PROD-0078,2,97,194
78,ORD-000031,PROD-0079,3,98,294
79,ORD-000031,PROD-0080,1,99,99
80,ORD-000032,PROD-0081,1,100,100
81,ORD-000033,PROD-0082,1,101,101
82,ORD-000033,PROD-0083,2,102,204
83,ORD-000034,PROD-0084,1,103,103
84,ORD-000034,PROD-0085,2,104,208
85,ORD-000034,PROD-0086,3,105,315
86,ORD-000035,PROD-0087,1,106,106
87,ORD-000035,PROD-0088,2,107,214
88,ORD-000035,PROD-0089,3,108,324
89,ORD-000035,PROD-0090,1,109,109
90,ORD-000036,PROD-0091,1,110,110
91,ORD-000037,PROD-0092,1,111,111
92,ORD-000037,PROD-0093,2,112,224
93,ORD-000038,PROD-0094,1,113,113
94,ORD-000038,PROD-0095,2,114,228
95,ORD-000038,PROD-0096,3,115,345
96,ORD-000039,PROD-0097,1,116,116
97,ORD-000039,PROD-0098,2,117,234
98,ORD-000039,PROD-0099,3,118,354
99,ORD-000039,PROD-0100,1,119,119
100,ORD-000040,PROD-0101,1,120,120
101,ORD-000041,PROD-0102,1,121,121
102,ORD-000041,PROD-0103,2,122,244
103,ORD-000042,PROD-0104,1,123,123
104,ORD-000042,PROD-0105,2,124,248
105,ORD-000042,PROD-0106,3,125,375
106,ORD-000043,PROD-0107,1,126,126
107,ORD-000043,PROD-0108,2,127,254
108,ORD-000043,PROD-0109,3,128,384
109,ORD-000043,PROD-0110,1,129,129
110,ORD-000044,PROD-0111,1,130,130
111,ORD-000045,PROD-0112,1,131,131
112,ORD-000045,PROD-0113,2,132,264
113,ORD-000046,PROD-0114,1,133,133
114,ORD-000046,PROD-0115,2,134,268
115,ORD-000046,PROD-0116,3,135,405
116,ORD-000047,PROD-0117,1,136,136
117,ORD-000047,PROD-0118,2,137,274
118,ORD-000047,PROD-0119,3,138,414
119,ORD-000047,PROD-0120,1,139,139
120,ORD-000048,PROD-0121,1,140,140
121,ORD-000049,PROD-0122,1,141,141
122,ORD-000049,PROD-0123,2,142,284
123,ORD-000050,PROD-0124,1,143,143
124,ORD-000050,PROD-0125,2,144,288
125,ORD-000050,PROD-0126,3,145,435
126,ORD-000051,PROD-0127,1,146,146
127,ORD-000051,PROD-0128,2,147,294
128,ORD-000051,PROD-0129,3,148,444
129,ORD-000051,PROD-0130,1,149,149
130,ORD-000052,PROD-0131,1,150,150
131,ORD-000053,PROD-0132,1,151,151
132,ORD-000053,PROD-0133,2,152,304
133,ORD-000054,PROD-0134,1,153,153
134,ORD-000054,PROD-0135,2,154,308
135,ORD-000054,PROD-0136,3,155,465
136,ORD-000055,PROD-0137,1,156,156
137,ORD-000055,PROD-0138,2,157,314
138,ORD-000055,PROD-0139,3,158,474
139,ORD-000055,PROD-0140,1,159,159
140,ORD-000056,PROD-0141,1,160,160
141,ORD-000057,PROD-0142,1,161,161
142,ORD-000057,PROD-0143,2,162,324
143,ORD-000058,PROD-0144,1,163,163
144,ORD-000058,PROD-0145,2,164,328
145,ORD-000058,PROD-0146,3,165,495
146,ORD-000059,PROD-0147,1,166,166
147,ORD-000059,PROD-0148,2,167,334
148,ORD-000059,PROD-0149,3,168,504
149,ORD-000059,PROD-0150,1,169,169
150,ORD-000060,PROD-0151,1,170,170
151,ORD-000061,PROD-0152,1,171,171
152,ORD-000061,PROD-0153,2,172,344
153,ORD-000062,PROD-0154,1,173,173
154,ORD-000062,PROD-0155,2,174,348
155,ORD-000062,PROD-0156,3,175,525
156,ORD-000063,PROD-0157,1,176,176
