order_id,customer_id,order_date,order_status,subtotal,discount_amount,shipping_cost,tax_amount,total_amount,payment_method,order_source,billing_country
ORD-000001,CUST-00002,2024-11-02,completed,26,0,6,2.08,34.08,paypal,paid_search,CA
ORD-000002,CUST-00003,2023-12-03,completed,27,0,7,2.16,36.16,apple_pay,social_media,UK
ORD-000003,CUST-00004,2024-10-04,completed,28,0,8,2.24,38.24,google_pay,email_campaign,DE
ORD-000004,CUST-00005,2024-05-05,completed,29,0,9,2.32,40.32,bank_transfer,direct_traffic,FR
ORD-000005,CUST-00006,2023-06-06,completed,30,3,10,2.4,39.4,credit_card,affiliate,AU
ORD-000006,CUST-00007,2024-07-07,completed,31,0,11,2.48,44.48,paypal,organic_search,US
ORD-000007,CUST-00008,2023-08-08,completed,32,0,12,2.56,46.56,apple_pay,paid_search,CA
ORD-000008,CUST-00009,2024-09-09,completed,33,0,13,2.64,48.64,google_pay,social_media,UK
ORD-000009,CUST-00010,2023-01-10,completed,34,0,14,2.72,50.72,bank_transfer,email_campaign,DE
ORD-000010,CUST-00011,2023-11-11,completed,35,3.5,5,2.8,39.3,credit_card,direct_traffic,FR
ORD-000011,CUST-00012,2024-12-12,completed,36,0,6,2.88,44.88,paypal,affiliate,AU
ORD-000012,CUST-00013,2023-10-13,completed,37,0,7,2.96,46.96,apple_pay,organic_search,US
ORD-000013,CUST-00014,2024-11-14,completed,38,0,8,3.04,49.04,google_pay,paid_search,CA
ORD-000014,CUST-00015,2024-06-15,completed,39,0,9,3.12,51.12,bank_transfer,social_media,UK
ORD-000015,CUST-00016,2023-07-16,completed,40,4,10,3.2,49.2,credit_card,email_campaign,DE
ORD-000016,CUST-00017,2024-08-17,shipped,41,0,11,3.28,55.28,paypal,direct_traffic,FR
ORD-000017,CUST-00018,2023-09-18,shipped,42,0,12,3.36,57.36,apple_pay,affiliate,AU
ORD-000018,CUST-00019,2024-01-19,processing,43,0,13,3.44,59.44,google_pay,organic_search,US
ORD-000019,CUST-00020,2023-02-20,cancelled,44,0,14,3.52,61.52,bank_transfer,paid_search,CA
ORD-000020,CUST-00021,2023-12-21,completed,45,4.5,5,3.6,49.1,credit_card,social_media,UK
ORD-000021,CUST-00022,2024-10-22,completed,46,0,6,3.68,55.68,paypal,email_campaign,DE
ORD-000022,CUST-00023,2023-11-23,completed,47,0,7,3.76,57.76,apple_pay,direct_traffic,FR
ORD-000023,CUST-00024,2024-12-24,completed,48,0,8,3.84,59.84,google_pay,affiliate,AU
ORD-000024,CUST-00025,2024-07-25,completed,49,0,9,3.92,61.92,bank_transfer,organic_search,US
ORD-000025,CUST-00026,2023-08-26,completed,50,5,10,4,59,credit_card,paid_search,CA
ORD-000026,CUST-00027,2024-09-27,completed,51,0,11,4.08,66.08,paypal,social_media,UK
ORD-000027,CUST-00028,2023-01-28,completed,52,0,12,4.16,68.16,apple_pay,email_campaign,DE
ORD-000028,CUST-00029,2024-02-01,completed,53,0,13,4.24,70.24,google_pay,direct_traffic,FR
ORD-000029,CUST-00030,2023-03-02,completed,54,0,14,4.32,72.32,bank_transfer,affiliate,AU
ORD-000030,CUST-00031,2023-10-03,completed,55,5.5,5,4.4,58.9,credit_card,organic_search,US
ORD-000031,CUST-00032,2024-11-04,completed,56,0,6,4.48,66.48,paypal,paid_search,CA
ORD-000032,CUST-00033,2023-12-05,completed,57,0,7,4.56,68.56,apple_pay,social_media,UK
ORD-000033,CUST-00034,2024-10-06,completed,58,0,8,4.64,70.64,google_pay,email_campaign,DE
ORD-000034,CUST-00035,2024-08-07,completed,59,0,9,4.72,72.72,bank_transfer,direct_traffic,FR
ORD-000035,CUST-00036,2023-09-08,completed,60,6,10,4.8,68.8,credit_card,affiliate,AU
ORD-000036,CUST-00037,2024-01-09,shipped,61,0,11,4.88,76.88,paypal,organic_search,US
ORD-000037,CUST-00038,2023-02-10,shipped,62,0,12,4.96,78.96,apple_pay,paid_search,CA
ORD-000038,CUST-00039,2024-03-11,processing,63,0,13,5.04,81.04,google_pay,social_media,UK
